Extraversion; Openness; Conscientiousness; Agreeableness; Neuroticism; Traverse Time; #waypoints
0,245;0,262;0,331;0,143;0,741;60,59;4
0,245;0,262;0,331;0,143;0,741;34,78;4
0,245;0,262;0,331;0,143;0,741;58,43;4
0,245;0,262;0,331;0,143;0,741;40,67;4
0,245;0,262;0,331;0,143;0,741;76,68;4
0,245;0,262;0,331;0,143;0,741;60,48;4
0,245;0,262;0,331;0,143;0,741;76,73;4
0,245;0,262;0,331;0,143;0,741;31,17;4
0,245;0,262;0,331;0,143;0,741;69,79;4
0,245;0,262;0,331;0,143;0,741;50,57;4
0,245;0,262;0,331;0,143;0,741;60,18;4
0,245;0,262;0,331;0,143;0,741;77,31;4
0,245;0,262;0,331;0,143;0,741;81,44;4
0,245;0,262;0,331;0,143;0,741;34,01;4
0,245;0,262;0,331;0,143;0,741;85,55;4
0,245;0,262;0,331;0,143;0,741;85,50;4
0,245;0,262;0,331;0,143;0,741;43,44;4
0,245;0,262;0,331;0,143;0,741;83,81;4
0,245;0,262;0,331;0,143;0,741;82,84;4
0,245;0,262;0,331;0,143;0,741;85,36;4
0,245;0,262;0,331;0,143;0,741;84,41;4
0,245;0,262;0,331;0,143;0,741;50,64;4
0,245;0,262;0,331;0,143;0,741;102,15;4
0,245;0,262;0,331;0,143;0,741;85,45;4
0,245;0,262;0,331;0,143;0,741;74,10;4
0,245;0,262;0,331;0,143;0,741;48,44;4
0,245;0,262;0,331;0,143;0,741;79,21;4
0,245;0,262;0,331;0,143;0,741;42,00;4
0,245;0,262;0,331;0,143;0,741;43,53;4
0,245;0,262;0,331;0,143;0,741;51,38;4
0,245;0,262;0,331;0,143;0,741;39,50;4
0,245;0,262;0,331;0,143;0,741;76,19;4
0,245;0,262;0,331;0,143;0,741;74,27;4
0,245;0,262;0,331;0,143;0,741;90,76;4
0,245;0,262;0,331;0,143;0,741;70,88;4
0,245;0,262;0,331;0,143;0,741;82,44;4
0,245;0,262;0,331;0,143;0,741;68,83;4
0,245;0,262;0,331;0,143;0,741;65,35;4
0,245;0,262;0,331;0,143;0,741;89,97;4
0,245;0,262;0,331;0,143;0,741;75,70;4
0,245;0,262;0,331;0,143;0,741;58,30;4
0,245;0,262;0,331;0,143;0,741;49,92;4
0,245;0,262;0,331;0,143;0,741;66,12;4
0,245;0,262;0,331;0,143;0,741;54,97;4
0,245;0,262;0,331;0,143;0,741;42,36;4
0,245;0,262;0,331;0,143;0,741;56,08;4
0,245;0,262;0,331;0,143;0,741;82,38;4
0,245;0,262;0,331;0,143;0,741;56,27;4
0,245;0,262;0,331;0,143;0,741;95,74;4
0,245;0,262;0,331;0,143;0,741;70,11;4
0,245;0,262;0,331;0,143;0,741;121,90;4
0,245;0,262;0,331;0,143;0,741;50,97;4
0,245;0,262;0,331;0,143;0,741;122,66;4
0,245;0,262;0,331;0,143;0,741;107,24;4
0,245;0,262;0,331;0,143;0,741;74,35;4
0,245;0,262;0,331;0,143;0,741;83,89;4
0,245;0,262;0,331;0,143;0,741;136,96;4
0,245;0,262;0,331;0,143;0,741;67,34;4
0,245;0,262;0,331;0,143;0,741;92,38;4
0,245;0,262;0,331;0,143;0,741;80,64;4
0,245;0,262;0,331;0,143;0,741;51,23;4
0,245;0,262;0,331;0,143;0,741;73,64;4
0,245;0,262;0,331;0,143;0,741;123,38;4
0,245;0,262;0,331;0,143;0,741;64,20;4
0,245;0,262;0,331;0,143;0,741;105,52;4
0,245;0,262;0,331;0,143;0,741;69,21;4
0,245;0,262;0,331;0,143;0,741;91,82;4
0,245;0,262;0,331;0,143;0,741;36,30;4
0,245;0,262;0,331;0,143;0,741;116,46;4
0,245;0,262;0,331;0,143;0,741;86,21;4
0,245;0,262;0,331;0,143;0,741;50,56;4
